SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539636,PRECAM      ,B ,Q,64.05,65.60,63.80,65.15,65.55,64.55,20,1407,91108.00,
539658,TEAMLEASE   ,A ,Q,2885.45,3030.00,2854.55,2989.05,2940.00,2947.95,165,403,1176645.00,
539659,VIDLI       ,M ,Q,17.50,17.50,17.50,17.50,17.50,17.50,14,88000,1540000.00,
539660,SAHYOGMULT  ,X ,Q,50.90,50.90,49.15,50.75,50.75,50.15,49,6227,313321.00,
539678,QUICKHEAL   ,B ,Q,180.25,182.55,176.10,178.55,178.55,183.85,607,22606,4039618.00,
539725,GOKULAGRO   ,B ,Q,14.71,15.65,14.71,15.49,15.20,15.21,63,73638,1121920.00,
539730,FREDUN      ,X ,Q,490.00,490.00,430.00,440.20,440.20,440.50,21,816,355115.00,
539742,SIMBHALS    ,B ,Q,8.30,8.85,8.30,8.85,8.85,8.75,4,643,5446.00,
539767,MNIL        ,XT,Q,16.75,16.75,16.75,16.75,16.75,16.75,1,1,16.00,
539770,DARJEELING  ,X ,Q,100.80,100.80,97.50,98.65,98.65,99.50,77,67958,6737766.00,
539785,PDMJEPAPER  ,B ,Q,13.27,13.45,12.85,13.16,13.16,13.33,115,16119,210275.00,
539787,HCG         ,B ,Q,176.45,176.45,167.50,174.90,175.00,179.00,66,869,148374.00,
539798,UMIYA       ,T ,Q,8.50,8.50,7.93,8.06,8.10,8.34,35,22883,185802.00,
539799,BHARATWIRE  ,B ,Q,38.45,38.80,36.00,37.00,36.00,39.90,37,440,16577.00,
539800,CHDCHEM     ,M ,Q,28.00,28.50,28.00,28.50,28.50,28.00,4,40000,1128500.00,
539807,INFIBEAM    ,A ,Q,45.70,46.20,44.40,45.65,45.70,46.00,1258,955692,43402193.00,
539814,RADHEY      ,XT,Q,18.20,18.20,18.20,18.20,18.20,17.70,1,5,91.00,
539841,LANCER      ,T ,Q,68.30,68.35,61.90,65.00,65.00,65.10,33,2067,135955.00,
539844,EQUITAS     ,A ,Q,137.35,137.45,134.90,137.15,137.15,137.00,683,54761,7470560.00,
539861,SKIL        ,T ,Q,9.00,9.55,8.93,9.54,9.55,9.40,16,10154,90867.00,
539871,THYROCARE   ,A ,Q,486.75,486.75,465.45,480.10,481.00,479.85,486,6602,3156869.00,
539872,BAJAJHCARE  ,B ,Q,205.00,220.00,205.00,218.35,220.00,216.00,9,506,107810.00,
