SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1525.35,1554.00,1505.00,1513.10,1508.00,1509.85,1147,16720,25446565.00,
500003,AEGIS LOGIS ,A ,Q,218.20,230.00,217.80,227.75,227.75,219.55,553,15414,3480178.00,
500008,AMAR RAJA BA,A ,Q,622.20,624.05,608.00,620.50,620.50,625.45,1494,51975,31915890.00,
500009,A.SARABHAI  ,X ,Q,12.31,13.95,12.31,13.88,13.93,12.88,82,14277,190704.00,
500010,HDFC        ,A ,Q,2171.05,2201.55,2164.00,2197.00,2197.00,2183.30,2414,59205,129319496.00,
500012,ANDHRA PETRO,X ,Q,58.70,58.70,56.05,56.65,56.65,56.75,267,27238,1541813.00,
500013,ANSAL INFRAS,B ,Q,6.50,6.80,5.91,6.08,6.08,6.23,69,21134,130159.00,
500014,APPLE FINANC,XT,Q,1.64,1.64,1.50,1.55,1.55,1.57,25,7928,12909.00,
500016,ARUNAHTEL   ,XT,Q,6.42,6.42,6.42,6.42,6.42,6.75,1,90,577.00,
500020,BOM DYEING  ,A ,Q,117.05,118.05,111.15,114.55,114.55,118.50,2068,220396,25254931.00,
500023,ASIANHOTNR  ,B ,Q,127.00,129.00,127.00,127.90,129.00,123.00,2,80,10230.00,
500024,ASSAMCO     ,T ,Q,1.51,1.52,1.45,1.52,1.52,1.47,42,41486,62492.00,
500027,ATUL LTD.   ,A ,Q,4160.00,4160.00,4093.25,4099.60,4099.60,4124.25,394,886,3638115.00,
500028,ATV PROJECTS,XT,Q,3.70,3.71,3.68,3.70,3.70,3.87,8,4956,18351.00,
500029,AUTOLITE(I) ,Z ,Q,28.20,28.20,28.20,28.20,28.20,29.40,4,450,12690.00,
500031,BAJAJ ELECT.,A ,Q,510.70,512.90,500.55,506.00,506.00,509.25,283,5714,2882955.00,
500032,BAJAJHIND   ,B ,Q,8.56,8.71,8.47,8.53,8.53,8.64,157,228773,1955235.00,
500033,FORCE MOTR  ,A ,Q,1484.10,1499.55,1455.10,1470.90,1470.90,1484.10,1050,8371,12303626.00,
500034,BAJFINANCE  ,A ,Q,3514.95,3550.00,3498.40,3542.85,3542.85,3510.10,2317,48729,171712892.00,
500038,BALRAM.CHINI,A ,Q,156.30,157.75,152.80,155.80,155.80,153.55,634,68389,10571396.00,
500039,BANCO PROD. ,B ,Q,133.75,133.85,131.00,132.20,132.00,133.55,78,3522,464186.00,
500040,CENTURY TEXT,A ,Q,990.90,990.90,966.80,982.75,981.90,981.70,821,29098,28501044.00,
500041,BANNARI AMAN,B ,Q,1480.00,1480.00,1425.05,1425.05,1425.05,1489.90,12,366,530705.00,
500042,BASF INDIA  ,A ,Q,1404.55,1405.65,1377.75,1390.90,1390.90,1408.15,210,1141,1591407.00,
500043,BATA INDIA  ,A ,Q,1432.95,1438.25,1424.05,1434.55,1437.50,1429.45,1538,42109,60348256.00,
500048,BEML LTD    ,A ,Q,924.00,925.90,894.45,917.95,915.00,920.25,1856,64200,58480345.00,
500049,BHARAT ELECT,A ,Q,107.75,110.20,107.25,110.05,110.05,107.30,2227,527510,57375951.00,
500052,BHANSALI ENG,B ,Q,66.00,69.00,65.50,67.85,67.85,66.35,987,110123,7357952.00,
500055,TATASTLBSL  ,B ,Q,30.50,30.55,29.85,30.10,30.10,30.60,218,44969,1355295.00,
500058,BIHAR SPONGE,XT,Q,0.97,1.07,0.97,1.07,1.07,1.02,8,3911,3795.00,
500059,BINANI IND. ,Z ,Q,20.40,20.40,20.40,20.40,20.40,21.45,16,1362,27784.00,
500060,BIRLACABLE  ,B ,Q,102.60,102.60,99.15,100.25,100.00,101.15,77,3664,367081.00,
500067,BLUE STAR   ,A ,Q,798.00,804.45,790.00,792.60,790.00,791.35,100,976,775006.00,
500068,DISA INDIA  ,X ,Q,5779.00,5969.00,5779.00,5969.00,5969.00,5995.95,4,4,23526.00,
500069,BNK CAPITAL ,X ,Q,89.00,91.30,85.55,90.00,90.00,87.00,11,1854,167506.00,
500074,BPL LTD.    ,B ,Q,23.60,24.00,23.25,23.55,23.50,23.80,171,20710,489133.00,
500078,OAL         ,X ,Q,210.00,212.95,201.00,202.05,202.00,208.35,118,14427,2945259.00,
500083,CENTURY EXT ,B ,Q,4.30,4.30,4.10,4.18,4.10,4.30,16,4454,18569.00,
500084,CESC LTD.   ,A ,Q,757.60,762.65,751.50,758.00,757.70,759.70,342,5912,4480551.00,
500085,CHAMBAL FERT,A ,Q,180.05,180.30,174.80,176.25,175.10,181.45,485,19253,3412240.00,
500086,EXIDE IND.  ,A ,Q,210.10,210.40,205.75,206.85,207.20,209.90,1122,72191,14949989.00,
500087,CIPLA LTD.  ,A ,Q,561.05,566.00,559.70,562.80,564.00,561.05,1229,64203,36174372.00,
500092,CRISIL LTD  ,A ,Q,1468.35,1469.90,1425.00,1427.10,1432.00,1458.05,212,852,1226458.00,
500093,CGPOWER     ,A ,Q,31.00,32.15,30.85,31.85,31.85,31.60,1229,602610,19027759.00,
500096,DABUR (I)   ,A ,Q,409.95,410.10,406.10,408.55,409.80,408.65,595,33078,13505809.00,
500097,DALMIASUG   ,B ,Q,110.20,110.85,107.15,109.55,109.65,110.55,234,16106,1763487.00,
500101,ARVIND Ltd  ,A ,Q,74.75,75.30,71.75,74.15,74.15,75.25,877,244704,17895262.00,
500102,BALARPUR IND,B ,Q,2.27,2.48,2.24,2.45,2.33,2.27,151,262875,626953.00,
500103,BHEL        ,A ,Q,68.30,69.20,67.80,68.75,68.75,68.30,2461,606192,41607069.00,
500104,HIND.PETRO  ,A ,Q,306.80,311.00,303.85,309.60,309.00,302.85,3598,340537,104772548.00,
500106,IFCI LTD    ,A ,Q,9.00,9.00,8.75,8.94,8.94,9.09,532,377906,3353350.00,
500108,MAHA.TELE   ,B ,Q,9.00,9.15,8.50,8.63,8.63,9.00,697,429652,3743719.00,
500109,MRPL        ,A ,Q,60.85,60.85,58.80,59.00,58.80,60.55,264,42092,2503307.00,
500110,CHENNAI PET.,A ,Q,217.80,219.45,212.75,214.50,214.20,216.20,262,12216,2626265.00,
500111,REL.CAP.    ,A ,Q,85.50,86.60,82.00,84.40,84.40,87.50,15158,3172862,266445350.00,
500112,STATE BANK  ,A ,Q,342.20,347.00,339.55,346.30,346.30,344.20,7231,1997665,682823343.00,
500113,STEEL AUTH. ,A ,Q,51.50,51.90,49.75,51.45,51.45,50.30,4125,2341042,119291389.00,
500114,TITAN       ,A ,Q,1285.45,1298.00,1277.20,1293.60,1293.60,1285.45,1852,56093,72157406.00,
500116,IDBI BANK L ,A ,Q,36.15,36.65,35.35,36.20,36.20,36.40,1342,891839,32139089.00,
500117,DCW LTD.    ,B ,Q,18.05,18.15,17.50,17.60,17.85,18.00,79,24842,441836.00,
500119,DHAMPUR SUGA,B ,Q,210.30,213.95,210.25,211.80,211.80,212.20,350,19614,4161528.00,
500120,DIAMINES&CHM,X ,Q,118.00,122.00,116.50,120.45,120.45,118.55,69,5700,683952.00,
500123,ELANTAS     ,B ,Q,2152.55,2159.85,2135.25,2154.65,2157.40,2179.00,20,93,199898.00,
500124,DR.REDDY'S  ,A ,Q,2595.35,2601.30,2559.65,2586.15,2586.15,2590.35,1512,23020,59339250.00,
500125,E.I.D.PAR   ,A ,Q,175.10,175.15,170.10,170.85,170.75,174.75,212,7907,1355987.00,
500126,PGHL        ,A ,Q,3956.00,3979.80,3909.00,3963.50,3960.00,3950.20,226,1413,5574823.00,
500128,ELEC.CASTING,B ,Q,17.55,17.75,17.30,17.65,17.70,17.70,95,14538,254594.00,
500132,EMPEE SUGARS,Z ,Q,1.03,1.03,1.03,1.03,1.03,1.01,1,100,103.00,
500133,ESAB INDIA  ,B ,Q,1075.00,1110.00,1070.00,1090.70,1090.00,1089.15,29,315,342853.00,
500135,ESSEL PROP  ,B ,Q,130.20,130.90,129.75,130.20,130.20,130.85,52,5971,777547.00,
500136,ESTER INDUS.,B ,Q,35.00,35.00,33.30,33.45,33.30,34.50,62,3418,114574.00,
500141,FERRO ALLOYS,X ,Q,3.71,4.00,3.62,3.67,3.67,3.74,83,56101,209805.00,
500144,FINOL. CABLE,A ,Q,451.15,451.50,441.50,445.75,447.05,455.95,166,1514,673005.00,
500147,CMI FPE     ,X ,Q,1060.05,1113.00,1060.05,1113.00,1113.00,1111.55,17,103,111633.00,
500148,UFLEX LTD   ,A ,Q,244.95,246.90,242.85,245.70,244.10,247.40,108,1472,360298.00,
500151,GOLDEN TOB  ,B ,Q,36.00,36.00,33.60,33.60,33.60,35.30,2,55,1860.00,
500153,GANESH BENZO,X ,Q,41.00,42.35,36.40,40.75,41.65,41.65,423,89090,3491316.00,
500155,GARDEN SILK ,B ,Q,16.05,17.25,15.15,15.40,15.25,15.90,32,3758,58920.00,
500159,METROGLOBL  ,X ,Q,59.00,59.00,59.00,59.00,59.00,60.30,2,4,236.00,
500160,GTL LTD.    ,B ,Q,3.20,3.70,3.20,3.32,3.36,3.47,26,1785,5983.00,
500163,GODFREY PH  ,A ,Q,905.00,905.00,882.00,892.05,891.95,904.80,437,10595,9464619.00,
500164,GODREJ IND  ,A ,Q,470.00,474.30,465.00,470.95,473.90,474.70,299,9640,4539044.00,
500165,KANSAI NERO ,A ,Q,464.00,469.00,453.65,462.80,463.75,461.10,618,7540,3460572.00,XD
500166,GOODRICKE   ,X ,Q,196.60,196.60,184.10,185.00,184.50,188.75,90,4287,797026.00,
500168,GOODYEAR (I),B ,Q,952.15,952.15,941.30,944.25,942.90,952.15,66,883,836104.00,
500171,GHCL LTD    ,A ,Q,241.60,242.10,237.00,238.55,237.20,244.20,155,7883,1883492.00,
500173,GUJ.FLOURO  ,A ,Q,1052.10,1080.00,1024.80,1064.95,1065.00,1057.10,493,2489,2608650.00,
500179,HCL INFOSYS ,B ,Q,14.45,14.45,13.85,14.20,14.20,14.35,203,54737,770504.00,
500180,HDFC BANK   ,A ,Q,2445.00,2454.15,2415.00,2447.30,2447.30,2427.40,4561,162574,396106892.00,
500182,HEROMOTOCO  ,A ,Q,2745.15,2763.90,2687.40,2707.70,2707.05,2732.90,2285,35397,95968497.00,
500183,HIMACHAL FUT,A ,Q,21.35,21.35,20.75,20.95,20.95,21.10,841,246069,5148177.00,
500184,HSCL        ,A ,Q,115.85,115.85,110.75,111.05,111.05,114.05,568,63954,7129183.00,
500185,HIND.CONSTN.,A ,Q,12.90,13.08,12.10,12.77,12.77,12.66,1929,362905,4613775.00,
500186,HIND.OIL EXP,B ,Q,120.85,121.70,118.00,120.45,119.55,121.25,191,18190,2179969.00,
500187,HSIL        ,B ,Q,262.00,263.65,248.85,255.00,253.05,264.65,495,11646,2955841.00,
500188,HINDUS.ZI   ,A ,Q,241.45,241.65,239.20,240.35,240.35,241.70,344,16014,3848573.00,
500189,HINDUJA VENT,B ,Q,378.00,380.90,371.35,379.75,379.75,382.45,13,1272,480527.00,
500191,HMT LTD.    ,Z ,Q,16.75,17.50,16.50,16.95,16.95,17.00,23,5094,85273.00,
500193,HOTEL LEELA.,B ,Q,8.02,8.26,8.02,8.08,8.05,8.18,39,9744,79217.00,
500199,I.G.PETRO   ,B ,Q,279.45,279.45,259.25,268.50,267.50,272.30,67,852,227860.00,
500201,IND.GLYCOLS ,B ,Q,247.00,248.50,238.00,243.90,245.00,248.25,286,6629,1611616.00,
500207,INDO RAMA   ,B ,Q,27.35,27.35,26.25,26.60,26.55,26.35,13,1941,52132.00,
500209,INFOSYS LTD ,A ,Q,741.50,747.20,739.20,742.70,742.70,753.95,5645,378457,281342560.00,XD
500210,INGERSOLL   ,B ,Q,623.05,628.00,616.95,624.10,625.00,623.15,46,576,358403.00,
500211,INSILCO LTD.,X ,Q,17.00,17.85,16.50,17.75,17.80,16.95,23,4444,77384.00,
500213,INTER.TRAVEL,X ,Q,119.00,121.25,116.25,116.70,118.20,120.75,30,1681,197772.00,
500214,ION EXCHANGE,X ,Q,538.50,538.50,518.35,530.15,531.20,533.65,281,23021,12026620.00,
500215,AGRO TECH FO,B ,Q,533.30,534.70,520.00,532.80,532.00,531.90,64,582,307914.00,
500219,JAIN IRRIG  ,A ,Q,37.70,39.10,36.80,38.55,38.55,37.85,3573,2866659,109298604.00,
500220,JASCH INDUST,X ,Q,48.70,48.80,47.30,47.70,47.30,48.30,10,182,8753.00,
500223,JCT LTD     ,X ,Q,1.30,1.30,1.10,1.17,1.17,1.26,192,388164,458734.00,
500227,JINDAL POLYF,B ,Q,233.50,233.50,222.10,228.10,229.15,238.25,139,4379,990688.00,
500228,JSWSL       ,A ,Q,272.90,275.00,265.85,274.20,274.20,271.25,1728,235412,63970435.00,
500231,UMANG DAIR  ,B ,Q,50.95,50.95,47.70,48.00,48.00,49.90,14,283,13609.00,
500233,KAJARIA CER.,A ,Q,613.15,614.40,600.25,609.65,609.65,610.00,614,25931,15743079.00,
500234,KAKATIYA CEM,B ,Q,202.95,202.95,195.85,197.05,197.45,205.50,60,1128,222602.00,
500235,KALYANI STEL,B ,Q,224.85,225.15,220.20,221.35,222.00,226.60,215,6775,1504696.00,
500238,WHIRLPOOL   ,A ,Q,1537.20,1563.10,1526.00,1547.75,1551.90,1521.55,452,3438,5316081.00,
500239,KG DENIM    ,X ,Q,43.00,43.00,40.00,42.20,42.40,42.15,22,8979,368845.00,
500240,KINETIC ENG.,X ,Q,32.70,35.45,32.50,34.85,34.85,32.40,47,4714,161362.00,
500241,KIRL.BROS.  ,B ,Q,177.35,180.10,173.80,175.60,175.10,179.95,40,922,162186.00,
500245,KIRL.FERROUS,B ,Q,80.35,81.75,80.10,81.55,81.55,80.85,88,6884,557328.00,
500246,ENVAIN ELECT,X ,Q,36.10,37.00,36.10,37.00,37.00,36.05,3,601,22147.00,
500247,KOTAK MAH.BK,A ,Q,1483.90,1509.05,1477.45,1505.45,1502.45,1482.70,4230,128066,191082213.00,
500249,KSB         ,B ,Q,737.95,737.95,718.10,725.00,725.00,714.00,12,62,45070.00,
500250,L.G.BALKRISH,B ,Q,347.00,347.00,338.00,338.45,338.00,348.10,71,716,244001.00,
500251,TRENT LTD.  ,A ,Q,397.25,409.00,390.80,395.55,392.90,405.35,2102,11343,4504817.00,
500252,LAXMIMACH   ,A ,Q,5301.00,5301.00,5252.00,5275.85,5275.85,5282.00,262,570,3004922.00,
500253,LIC HOUS.FIN,A ,Q,547.70,547.70,533.30,542.25,542.25,543.60,799,29945,16164757.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,16,22911,4353.00,
500257,LUPIN LTD.  ,A ,Q,726.30,729.00,705.15,719.30,719.30,726.25,2464,97503,69788990.00,
500259,LYKA LABS   ,T ,Q,24.55,24.55,24.55,24.55,24.55,24.50,1,100,2455.00,
500260,RAMCOCEM    ,A ,Q,786.65,795.00,782.65,793.75,793.95,790.75,112,1883,1486282.00,
500264,MAFATLAL IND,X ,Q,96.40,98.00,96.20,96.35,96.30,96.00,16,1473,142414.00,
500265,MAH.SEAMLESS,B ,Q,431.55,432.50,429.00,431.90,430.00,430.70,89,2188,941445.00,
500266,MAH.SCOOTER ,B ,Q,4580.00,4683.85,4568.10,4601.55,4650.00,4561.85,275,859,3976424.00,
500267,MAJESTIC AUT,X ,Q,168.00,170.00,165.25,169.30,168.60,169.15,69,4115,690253.00,
500268,MANALI PETRO,B ,Q,24.05,24.15,23.60,23.95,24.15,23.85,77,11793,280828.00,
500271,MFSL        ,A ,Q,440.30,440.30,427.00,430.35,430.00,437.85,489,18132,7811143.00,
500279,MIRC ELECT  ,B ,Q,18.50,20.00,17.00,17.60,17.35,17.90,98,12859,225615.00,
500280,CENTURY ENKA,B ,Q,225.95,225.95,223.40,223.85,224.20,227.55,35,1265,283633.00,
500284,LORDS CHLORO,XT,Q,52.30,52.30,47.45,47.45,47.45,49.90,4,130,6217.00,
500285,SPICEJET LTD,A ,Q,143.55,146.80,141.50,142.25,142.25,141.80,14641,1852705,267048613.00,
500288,MOREPEN LAB.,B ,Q,18.80,18.80,18.15,18.20,18.20,18.60,146,49129,902309.00,
500290,MRF LTD.    ,A ,Q,55547.55,55786.45,54258.50,54804.15,54513.00,55595.80,278,394,21579447.00,
500292,HEIDEL CEM  ,A ,Q,203.95,204.65,200.30,201.50,202.50,205.40,207,9110,1839218.00,
500294,NCC         ,A ,Q,97.60,98.00,95.70,97.55,97.55,97.35,2114,640742,62307761.00,
500295,VEDL        ,A ,Q,170.00,170.65,165.40,168.35,168.35,170.10,1848,297222,49705347.00,
500296,NAHAR SPG.  ,B ,Q,74.60,75.00,72.60,73.70,74.00,75.30,62,3943,290854.00,
500298,NAT.PEROXIDE,B ,Q,2267.90,2267.90,2161.00,2209.25,2208.05,2255.05,1284,7593,16698660.00,
500300,GRASIM IND. ,A ,Q,884.95,907.25,870.45,903.90,903.90,888.40,1381,69286,62024808.00,
500302,PEL         ,A ,Q,2111.55,2124.45,2057.00,2078.75,2078.75,2130.45,2431,52646,109500485.00,
500304,NIIT LTD.   ,B ,Q,104.15,106.45,104.00,105.35,104.95,104.85,545,73732,7717084.00,
500306,JAYKAY      ,X ,Q,4.50,4.70,4.40,4.50,4.50,4.55,16,4075,18125.00,
500307,NIRLON      ,B ,Q,202.50,204.00,202.00,204.00,204.00,202.60,22,3286,667392.00,
500312,ONGC CORPN  ,A ,Q,169.00,170.15,167.10,168.95,168.95,170.45,941,161776,27271487.00,
500313,OIL COUNTRY ,B ,Q,8.96,9.25,8.50,8.75,8.75,8.96,80,17118,148712.00,
500314,ORIENT HOTEL,B ,Q,40.25,41.00,40.10,40.35,40.35,41.40,7,324,13110.00,
500315,ORINTAL BANK,A ,Q,91.80,92.30,88.85,90.90,90.70,92.80,1000,281097,25392318.00,
500317,OSWAL AGRO. ,B ,Q,7.53,7.80,7.03,7.16,7.59,7.57,22,1621,11933.00,
500325,RELIANCE    ,A ,Q,1330.95,1334.35,1310.00,1324.30,1324.30,1331.10,7691,380891,503423648.00,
500327,PILITA      ,B ,Q,9.09,9.40,8.55,8.62,8.57,9.48,266,205932,1818561.00,
500329,PENTAMED.G  ,XT,Q,0.31,0.32,0.30,0.32,0.32,0.31,36,35360,11150.00,
500330,RAYMOND     ,A ,Q,793.15,801.00,784.15,796.75,796.75,799.80,947,28811,22851017.00,
500331,PIDILITE    ,A ,Q,1272.00,1272.00,1246.45,1249.85,1249.85,1279.80,1183,122949,153837910.00,
500333,PIX TRANS   ,X ,Q,191.80,192.60,185.00,188.95,188.90,192.30,83,4681,884170.00,
500335,BIRLA CORPN.,A ,Q,633.25,635.50,620.00,632.50,633.00,633.25,289,4403,2772125.00,
500336,SURYA ROSHNI,B ,Q,249.35,251.10,246.15,249.55,246.15,249.50,213,12718,3173490.00,
500337,PRIME SECUR.,B ,Q,39.25,39.45,38.00,38.35,38.40,39.70,96,12240,468483.00,
500338,PRSMJOHNSN  ,A ,Q,93.10,94.00,92.75,93.45,93.45,93.85,214,33510,3120499.00,
500339,RAIN        ,A ,Q,104.60,104.65,101.25,103.85,103.35,104.95,774,64115,6617173.00,
500343,AMJLAND     ,B ,Q,18.50,18.50,17.55,17.90,17.90,18.80,45,8313,148667.00,
500346,PUN.COMMUNI.,B ,Q,16.30,16.30,16.00,16.15,16.00,16.30,2,50,807.00,
500350,RSWM  LTD   ,B ,Q,143.00,143.90,140.75,142.00,142.25,147.85,116,4982,711441.00,
500354,RAJSH.SUGAR ,B ,Q,21.75,22.95,21.50,22.05,22.05,23.30,10,854,18702.00,
500355,RALLIS INDIA,A ,Q,147.95,148.40,146.00,147.75,147.30,148.50,214,8157,1203248.00,
500356,RAMANEWS    ,B ,Q,20.00,20.55,19.90,20.50,20.50,20.05,37,7085,143377.00,
500357,RAMA PAPER  ,X ,Q,16.00,16.15,15.55,15.75,15.75,16.35,21,4657,73817.00,
500360,RAPICUT CARB,X ,Q,42.50,42.50,39.15,39.75,39.15,42.40,49,15204,609614.00,
500365,RMGALLOY    ,X ,Q,12.15,13.35,12.15,13.10,13.35,12.90,39,17088,217998.00,
500366,ROLTA (I)   ,T ,Q,6.10,6.23,6.00,6.21,6.23,5.94,215,151883,942013.00,
500367,RUBFILA INT.,X ,Q,39.50,41.40,39.15,40.30,40.20,40.20,41,3003,121122.00,
500368,RUCHI SOYA  ,T ,Q,6.25,6.50,6.15,6.26,6.29,6.39,238,113875,714249.00,
500370,SALORA INT. ,X ,Q,13.87,13.87,13.87,13.87,13.87,13.87,2,399,5534.00,
500378,JINDAL SAW  ,A ,Q,83.05,83.80,82.10,82.40,82.50,83.75,362,39652,3268966.00,
500380,JK LAKSHMI  ,A ,Q,362.50,362.50,352.05,354.10,354.95,361.25,196,2162,771170.00,
500387,SHREE CEMENT,A ,Q,20366.75,20815.15,20366.75,20733.40,20800.00,20546.85,313,15451,317090189.00,
500390,REL INFRA   ,A ,Q,63.30,64.25,61.50,62.75,62.75,64.15,13613,2726534,171271367.00,
500400,TATA POWER  ,A ,Q,66.85,66.85,65.15,66.00,66.00,66.35,1391,1077809,70761654.00,
500402,SPMLINFRA   ,B ,Q,21.35,23.35,21.35,22.75,22.10,22.75,24,1614,36643.00,
500403,SUNDARAM FAS,A ,Q,532.85,535.80,527.05,531.70,535.50,531.90,135,1192,635532.00,
500404,SUNFLAG IRON,B ,Q,39.90,39.95,39.00,39.65,39.35,40.15,68,4726,185999.00,
500405,SUPREME PET ,B ,Q,201.00,204.60,200.00,201.25,201.25,203.40,20,236,47822.00,
500407,SWARAJ ENGIN,B ,Q,1389.90,1393.00,1362.60,1383.95,1389.95,1385.00,35,222,305951.00,
500408,TATA ELXSI  ,A ,Q,854.00,856.80,835.75,843.90,843.90,856.10,1313,37272,31525032.00,
500410,ACC LTD     ,A ,Q,1566.40,1588.85,1564.75,1582.60,1582.60,1579.40,938,22767,35881087.00,
500411,THERMAX     ,A ,Q,1109.65,1136.45,1083.00,1090.70,1110.00,1116.10,838,559448,615361176.00,
500412,THIRUMALAI  ,B ,Q,83.35,83.35,80.80,82.45,82.65,83.35,333,33838,2777558.00,
500413,THOMAS COOK ,A ,Q,227.90,227.90,223.30,225.00,223.55,227.10,233,8036,1813356.00,
500414,TIMEX GROUP ,X ,Q,44.00,44.00,43.00,43.70,43.90,44.35,25,2125,92696.00,
500418,TOKYO PLAST ,B ,Q,47.55,51.30,47.55,50.45,50.00,50.50,3,5,246.00,
500420,TORRENT PHAR,A ,Q,1534.50,1551.80,1529.15,1537.30,1537.30,1548.90,499,9990,15390123.00,XD
500422,TRANSCHEM   ,X ,Q,19.00,21.00,19.00,19.95,19.90,19.85,9,1197,22857.00,
500425,AMBUJA CEME ,A ,Q,220.05,222.00,216.20,220.90,220.90,220.70,991,118993,26028653.00,
500426,UTLINDS     ,X ,Q,12.15,12.15,12.15,12.15,12.15,13.45,5,122,1482.00,
500429,UNIPHOS ENT.,B ,Q,98.25,103.00,98.25,100.70,100.50,101.55,94,52885,5406980.00,
500439,VARD HOLDNG ,B ,Q,2030.00,2030.00,2030.00,2030.00,2030.00,2055.90,3,18,36540.00,
500440,HINDALCO    ,A ,Q,199.00,200.50,196.70,199.60,199.40,199.90,2670,465466,92664714.00,
500444,WEST COAS PA,B ,Q,249.95,249.95,234.45,236.25,236.25,246.25,348,5908,1407627.00,
500449,HIND.ORG.CHM,B ,Q,23.10,23.40,22.05,23.00,22.95,23.10,179,25284,577673.00,
500456,PAS.ACRYLON ,X ,Q,17.15,17.60,17.10,17.20,17.20,17.50,56,20968,363071.00,
500459,PROCTER &GAM,A ,Q,11150.00,11150.00,10937.00,11035.90,11117.20,11046.50,42,64,704309.00,
500460,MUKAND LTD. ,B ,Q,49.00,49.00,48.00,48.10,48.10,48.95,32,4434,214498.00,
500464,UCAL FUEL   ,B ,Q,153.50,154.00,150.30,150.55,150.30,153.65,52,2322,352957.00,
500467,HARR.MALAYAL,B ,Q,71.75,71.75,68.25,69.20,69.20,71.00,130,4788,331856.00,
500469,FEDERAL BANK,A ,Q,105.00,107.00,104.50,106.70,106.70,105.15,1198,406820,43024398.00,
500470,TATA STEEL  ,A ,Q,504.80,505.80,497.00,502.85,502.85,505.60,4212,278628,139873983.00,
500472,SKF INDIA   ,A ,Q,1909.90,1935.00,1900.00,1921.85,1934.95,1902.15,27,101,193267.00,
500477,ASHOK LEYL. ,A ,Q,89.00,89.25,87.10,88.25,88.25,89.25,3108,887817,78042598.00,
500480,CUMMINS (I) ,A ,Q,748.30,754.20,744.00,745.30,745.15,752.00,331,9544,7143313.00,
500483,TATA COMM   ,A ,Q,488.10,495.10,485.00,488.15,486.15,490.15,426,15736,7714317.00,
500488,ABBOTT (I)  ,A ,Q,8669.95,8670.00,8507.40,8581.35,8617.95,8597.00,106,280,2410867.00,
500490,BAJ HOLD INV,A ,Q,3742.00,3742.00,3671.10,3689.50,3696.00,3749.05,276,911,3369382.00,
500493,BHARAT FORGE,A ,Q,468.00,468.00,457.95,460.35,463.00,468.50,608,37483,17264951.00,
500495,ESCORTS LTD.,A ,Q,576.00,582.35,566.65,580.10,580.10,575.20,1550,72778,41848731.00,
500500,HIND.MOTORS ,T ,Q,6.66,7.01,6.66,6.81,6.80,6.98,35,8749,59278.00,
500510,LARSEN & TOU,A ,Q,1511.00,1529.20,1504.65,1516.95,1516.95,1509.20,4262,122489,186201152.00,
500520,MAH & MAH   ,A ,Q,633.00,642.90,628.10,640.90,640.90,632.50,1482,51501,32707849.00,
500530,BOSCH LTD   ,A ,Q,17000.00,17029.95,16831.60,16994.35,16994.35,16902.00,223,3376,57009302.00,
500540,PREMIER LTD ,T ,Q,4.31,4.31,4.31,4.31,4.31,4.31,1,200,862.00,
500547,BHARAT PET. ,A ,Q,384.05,389.80,383.35,388.35,387.45,381.25,2339,273187,105691782.00,
500550,SIEMENS LTD.,A ,Q,1257.40,1280.05,1254.40,1271.85,1279.95,1260.25,542,12019,15226969.00,
500570,TATA MOTORS ,A ,Q,166.00,168.80,164.50,167.40,167.40,169.00,5860,955719,159168864.00,
500575,VOLTAS LTD  ,A ,Q,608.40,616.00,607.60,613.35,614.00,608.15,878,60755,37266175.00,
500620,GREAT EASTE ,A ,Q,269.95,270.00,263.50,264.45,263.50,268.80,273,2944,786010.00,
500645,DEEPAK FERT.,A ,Q,134.55,134.55,130.85,131.85,131.85,134.55,220,10009,1319177.00,
500650,EXCEL INDUST,B ,Q,999.70,1011.85,991.15,996.90,1002.00,1013.10,44,382,381352.00,
500655,GARWARE POLY,X ,Q,255.95,255.95,245.00,250.10,250.10,253.25,212,6691,1672313.00,
500660,GLAXOSMITH  ,A ,Q,1267.75,1267.85,1256.00,1257.60,1256.00,1265.75,100,1282,1615306.00,
500670,GUJ.NARMADA ,A ,Q,273.25,273.35,262.50,263.65,263.65,273.70,1407,56725,15124581.00,
500672,NOVARTIS    ,B ,Q,674.00,683.00,664.00,669.45,669.45,674.60,627,7503,5050822.00,
500674,SANOFI      ,A ,Q,5400.05,5422.95,5380.65,5403.25,5391.00,5419.90,140,727,3925984.00,
500676,GLAXOSMITHKL,A ,Q,7712.70,7776.95,7670.10,7755.45,7741.70,7733.60,51,117,903707.00,
500680,PFIZER LTD. ,A ,Q,3220.00,3220.00,3156.00,3192.45,3214.95,3205.80,149,648,2055050.00,
500690,GUJ.ST.FERT ,A ,Q,101.50,102.20,99.10,100.70,100.95,101.80,651,64315,6457061.00,
500696,HIND UNI LT ,A ,Q,1845.00,1847.30,1824.00,1843.80,1843.80,1844.70,1497,34844,64022441.00,
500710,AKZOINDIA   ,A ,Q,1780.30,1806.30,1754.40,1800.25,1803.00,1779.05,112,641,1140176.00,
